Metric (UOM),LSL Guideline,USL Guideline,328,993,472,659,740,733,165,19
TOTAL_PF_READS (Count),,,52571128.0,105386004.0,101166714.0,115713760.0,100338506.0,95709424.0,96985790.0,101056466.0
MEAN_FAMILY_SIZE (Count),,,690.0,18.8,79.5,26.9,9.5,5.9,2.8,5.7
MEDIAN_TARGET_COVERAGE (Count),,,0.0,75.0,10.0,64.0,188.0,273.0,659.0,264.0
PCT_CHIMERIC_READS (%),,,0.57,0.43,0.25,0.28,0.12,0.08,0.07,0.22
PCT_EXON_100X (%),,,0.0,27.5,0.5,7.1,95.1,97.4,98.7,97.4
PCT_READ_ENRICHMENT (%),,,80.7,79.9,80.9,81.0,76.5,75.8,73.1,74.7
PCT_USABLE_UMI_READS (%),,,100.0,99.9,100.0,99.9,99.9,99.9,99.9,99.9
MEAN_TARGET_COVERAGE (Count),,,1.3,79.5,12.7,64.1,187.6,281.6,646.4,284.6
PCT_ALIGNED_READS (%),,,99.6,98.2,98.7,99.1,98.8,95.1,97.6,95.0
PCT_CONTAMINATION_EST (%),,,0.0,11.1,24.2,11.4,1.1,2.4,15.4,1.0
PCT_PF_UQ_READS (%),,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
PCT_TARGET_0.4X_MEAN (%),,,20.3,94.5,77.1,95.7,97.1,96.3,96.1,95.6
PCT_TARGET_100X (%),,,0.0,25.0,0.4,6.6,94.6,97.0,98.4,96.8
PCT_TARGET_250X (%),,,0.0,0.4,0.1,0.0,12.3,67.9,96.3,54.5
