Metric (UOM),LSL Guideline,USL Guideline,606,911,348,790,841,939,359,412,356,31,429,199,532,351,Genomic_Control,Horizon_Control
TOTAL_PF_READS (Count),,,23342112.0,26146336.0,25735820.0,27281798.0,23179600.0,105965494.0,102698768.0,82228588.0,94928070.0,107560402.0,106905814.0,82856632.0,25737518.0,23671726.0,20528670.0,90042478.0
MEAN_FAMILY_SIZE (Count),,,7.9,2.5,2.5,4.4,5.3,5.6,3.9,3.4,4.2,6.0,4.9,3.9,1.8,2.3,3.4,2.9
MEDIAN_TARGET_COVERAGE (Count),,,0.0,0.0,0.0,0.0,0.0,317.0,442.0,364.0,334.0,258.0,329.0,348.0,0.0,0.0,0.0,494.0
PCT_CHIMERIC_READS (%),,,7.19,9.93,10.12,8.56,8.36,0.13,0.11,0.12,0.1,0.15,0.13,0.13,10.47,10.2,8.78,0.08
PCT_EXON_100X (%),,,10.5,13.3,13.3,11.8,10.8,97.8,98.2,98.2,96.9,97.5,97.9,97.4,14.2,13.4,11.9,98.6
PCT_READ_ENRICHMENT (%),,,81.3,83.1,84.1,81.6,82.2,79.0,76.3,74.1,78.3,76.5,75.6,78.7,80.3,80.2,72.4,74.5
PCT_USABLE_UMI_READS (%),,,99.8,99.9,99.9,99.9,99.8,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.8,99.9,99.9,99.9
MEAN_TARGET_COVERAGE (Count),,,48.3,209.0,209.2,109.3,74.3,305.7,423.2,364.3,348.9,262.8,330.8,333.0,301.8,214.4,130.2,505.1
PCT_ALIGNED_READS (%),,,98.6,97.2,98.8,97.6,98.9,98.9,97.3,96.1,95.5,98.0,98.2,97.0,98.0,97.2,97.8,96.6
PCT_CONTAMINATION_EST (%),,,2.5,1.8,1.2,1.4,1.8,3.8,2.2,7.0,6.6,0.8,0.8,1.1,0.9,1.0,14.2,20.6
PCT_PF_UQ_READS (%),,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
PCT_TARGET_0.4X_MEAN (%),,,11.2,10.5,10.5,10.8,10.8,96.3,95.9,96.3,93.3,96.4,96.3,95.5,10.7,10.6,10.3,95.8
PCT_TARGET_100X (%),,,8.0,10.3,10.3,9.1,8.3,97.3,97.9,97.5,96.3,96.6,97.4,96.9,11.1,10.4,9.3,98.0
PCT_TARGET_250X (%),,,5.6,8.9,8.9,7.4,6.5,74.9,89.9,88.8,73.9,55.7,84.2,82.3,9.6,9.0,7.7,93.9
