Metric (UOM),LSL Guideline,USL Guideline,529,677,676,897,782,788,277,Control
TOTAL_PF_READS (Count),,,62533720.0,70178470.0,75789794.0,69584832.0,68895526.0,69015860.0,72268024.0,65370696.0
MEAN_FAMILY_SIZE (Count),,,2.6,4.8,3.7,2.8,2.4,2.3,2.8,1.4
MEDIAN_TARGET_COVERAGE (Count),,,418.0,218.0,279.0,452.0,534.0,431.0,498.0,776.0
PCT_CHIMERIC_READS (%),,,0.07,0.1,0.11,0.1,0.06,0.06,0.09,0.06
PCT_EXON_100X (%),,,98.3,94.9,96.7,98.2,98.4,97.9,98.5,98.6
PCT_READ_ENRICHMENT (%),,,76.7,81.6,84.7,79.0,79.0,82.3,80.4,73.8
PCT_USABLE_UMI_READS (%),,,99.8,99.9,99.9,99.8,99.9,99.8,99.9,99.8
MEAN_TARGET_COVERAGE (Count),,,406.7,219.4,362.4,442.8,527.1,596.5,476.2,789.4
PCT_ALIGNED_READS (%),,,86.5,89.1,93.5,91.5,93.7,94.5,95.0,87.7
PCT_CONTAMINATION_EST (%),,,0.5,12.4,1.1,3.2,0.9,2.1,0.9,17.0
PCT_PF_UQ_READS (%),,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
PCT_TARGET_0.4X_MEAN (%),,,95.3,93.6,89.3,95.1,94.4,87.6,95.1,93.5
PCT_TARGET_100X (%),,,97.1,92.1,94.7,97.2,97.4,97.0,97.7,97.6
PCT_TARGET_250X (%),,,90.8,33.0,61.1,91.4,92.7,86.2,91.4,95.1
